cn8,hs12
03089010,030890
03089050,030890
03089090,030890
03091000,030510
03099000,030619
03099000,030629
03099000,030791
03099000,030799
03099000,030890
04011010,040110
04011090,040110
04012011,040120
04012019,040120
04012091,040120
04012099,040120
04014010,040140
04014090,040140
04015011,040150
04015019,040150
04015031,040150
04015039,040150
04015091,040150
04015099,040150
04021011,040210
04021019,040210
04021091,040210
04021099,040210
04022111,040221
04022118,040221
04022191,040221
04022199,040221
04022911,040229
04022915,040229
04022919,040229
04022991,040229
04022999,040229
04029110,040291
04029130,040291
04029151,040291
04029159,040291
04029191,040291
04029199,040291
04029910,040299
04029931,040299
04029939,040299
04029991,040299
04029999,040299
04032011,040310
04032011,190190
04032013,040310
04032013,190190
04032019,040310
04032019,190190
04032031,040310
04032031,190190
04032033,040310
04032033,190190
04032039,040310
04032039,190190
04032041,040310
04032041,190190
04032049,040310
04032049,190190
04032051,040310
04032051,190190
04032053,040310
04032053,190190
04032059,040310
04032059,190190
04032091,040310
04032091,190190
04032093,040310
04032093,190190
04032099,040310
04032099,190190
04039011,040390
04039013,040390
04039019,040390
04039031,040390
04039033,040390
04039039,040390
04039051,040390
04039053,040390
04039059,040390
04039061,040390
04039063,040390
04039069,040390
04039071,040390
04039073,040390
04039079,040390
04039091,040390
04039093,040390
04039099,040390
04041002,040410
04041004,040410
04041006,040410
04041012,040410
04041014,040410
04041016,040410
04041026,040410
04041028,040410
04041032,040410
04041034,040410
04041036,040410
04041038,040410
04041048,040410
04041052,040410
04041054,040410
04041056,040410
04041058,040410
04041062,040410
04041072,040410
04041074,040410
04041076,040410
04041078,040410
04041082,040410
04041084,040410
04049021,040490
04049023,040490
04049029,040490
04049081,040490
04049083,040490
04049089,040490
04051011,040510
04051019,040510
04051030,040510
04051050,040510
04051090,040510
04052010,040520
04052030,040520
04052090,040520
04059010,040590
04059090,040590
04061030,040610
04061050,040610
04061080,040610
04062000,040620
04063010,040630
04063031,040630
04063039,040630
04063090,040630
04064010,040640
04064050,040640
04064090,040640
04069001,040690
04069013,040690
04069015,040690
04069017,040690
04069018,040690
04069021,040690
04069023,040690
04069025,040690
04069029,040690
04069032,040690
04069035,040690
04069037,040690
04069039,040690
04069050,040690
04069061,040690
04069063,040690
04069069,040690
04069073,040690
04069074,040690
04069075,040690
04069076,040690
04069078,040690
04069079,040690
04069081,040690
04069082,040690
04069084,040690
04069085,040690
04069086,040690
04069089,040690
04069092,040690
04069093,040690
04069099,040690
04071100,040711
04071911,040719
04071919,040719
04071990,040719
04072100,040721
04072910,040729
04072990,040729
04079010,040790
04079090,040790
04081120,040811
04081180,040811
04081920,040819
04081981,040819
04081989,040819
04089120,040891
04089180,040891
04089920,040899
04089980,040899
04090000,040900
04101010,020890
04101010,021099
04101010,041000
04101091,020890
04101091,021099
04101091,041000
04101099,020890
04101099,021099
04101099,041000
04109000,041000
05010000,050100
05021000,050210
05029000,050290
05040000,050400
05051010,050510
05051090,050510
05059000,050590
05061000,050610
05069000,050690
05071000,050710
05079000,050790
05080010,050800
05080090,050800
05100000,051000
05111000,051110
05119110,051191
05119190,051191
05119910,051199
05119931,051199
05119939,051199
05119985,051199
06011010,060110
06011020,060110
06011030,060110
06011040,060110
06011090,060110
06012010,060120
06012030,060120
06012090,060120
06021010,060210
06021090,060210
06022010,060220
06022020,060220
06022030,060220
06022080,060220
06023000,060230
06024000,060240
06029010,060290
06029020,060290
06029030,060290
06029041,060290
06029045,060290
06029046,060290
06029047,060290
06029048,060290
06029050,060290
06029070,060290
06029091,060290
06029099,060290
06031100,060311
06031200,060312
06031300,060313
06031400,060314
06031500,060315
06031910,060319
06031920,060319
06031970,060319
06039000,060390
06042011,060420
06042019,060420
06042020,060420
06042040,060420
06042090,060420
06049011,060490
06049019,060490
06049091,060490
06049099,060490
07011000,070110
07019010,070190
07019050,070190
07019090,070190
07020000,070200
07031011,070310
07031019,070310
07031090,070310
07032000,070320
07039000,070390
07041010,070410
07041010,070490
07041090,070410
07041090,070490
07042000,070420
07049010,070490
07049090,070490
07051100,070511
07051900,070519
07052100,070521
07052900,070529
07061000,070610
07069010,070690
07069030,070690
07069090,070690
07070005,070700
07070090,070700
07081000,070810
07082000,070820
07089000,070890
07092000,070920
07093000,070930
07094000,070940
07095100,070951
07095200,070959
07095300,070959
07095400,070959
07095500,070959
07095600,070959
07095900,070959
07096010,070960
07096091,070960
07096095,070960
07096099,070960
07097000,070970
07099100,070991
07099210,070992
07099290,070992
07099310,070993
07099390,070993
07099910,070999
07099920,070999
07099940,070999
07099950,070999
07099960,070999
07099990,070999
07101000,071010
07102100,071021
07102200,071022
07102900,071029
07103000,071030
07104000,071040
07108010,071080
07108051,071080
07108059,071080
07108061,071080
07108069,071080
07108070,071080
07108080,071080
07108085,071080
07108095,071080
07109000,071090
07112010,071120
07112090,071120
07114000,071140
07115100,071151
07115900,071159
07119010,071190
07119030,071190
07119050,071190
07119070,071190
07119080,071190
07119090,071190
07122000,071220
07123100,071231
07123200,071232
07123300,071233
07123400,071239
07123900,071239
07129005,071290
07129011,071290
07129019,071290
07129030,071290
07129050,071290
07129090,071290
07131010,071310
07131090,071310
07132000,071320
07133100,071331
07133200,071332
07133310,071333
07133390,071333
07133400,071334
07133500,071335
07133900,071339
07134000,071340
07135000,071350
07136000,071360
07139000,071390
07141000,071410
07142010,071420
07142090,071420
07143000,071430
07144000,071440
07145000,071450
07149020,071490
07149090,071490
08011100,080111
08011200,080112
08011900,080119
08012100,080121
08012200,080122
08013100,080131
08013200,080132
08021110,080211
08021190,080211
08021210,080212
08021290,080212
08022100,080221
08022200,080222
08023100,080231
08023200,080232
08024100,080241
08024200,080242
08025100,080251
08025200,080252
08026100,080261
08026200,080262
08027000,080270
08028000,080280
08029100,080290
08029200,080290
08029910,080290
08029990,080290
08031010,080310
08031090,080310
08039011,080390
08039019,080390
08039090,080390
08041000,080410
08042010,080420
08042090,080420
08043000,080430
08044000,080440
08045000,080450
08051022,080510
08051024,080510
08051028,080510
08051080,080510
08052110,080520
08052190,080520
08052200,080520
08052900,080520
08054000,080540
08055010,080550
08055090,080550
08059000,080590
08061010,080610
08061090,080610
08062010,080620
08062030,080620
08062090,080620
08071100,080711
08071900,080719
08072000,080720
08081010,080810
08081080,080810
08083010,080830
08083090,080830
08084000,080840
08091000,080910
08092100,080921
08092900,080929
08093020,080930
08093030,080930
08093080,080930
08094005,080940
08094090,080940
08101000,081010
08102010,081020
08102090,081020
08103010,081030
08103030,081030
08103090,081030
08104010,081040
08104030,081040
08104050,081040
08104090,081040
08105000,081050
08106000,081060
08107000,081070
08109020,081090
08109075,081090
08111011,081110
08111019,081110
08111090,081110
08112011,081120
08112019,081120
08112031,081120
08112039,081120
08112051,081120
08112059,081120
08112090,081120
08119011,081190
08119019,081190
08119031,081190
08119039,081190
08119050,081190
08119070,081190
08119075,081190
08119080,081190
08119085,081190
08119095,081190
08121000,081210
08129025,081290
08129030,081290
08129040,081290
08129070,081290
08129098,081290
08131000,081310
08132000,081320
08133000,081330
08134010,081340
08134030,081340
08134050,081340
08134065,081340
08134095,081340
08135012,081350
08135015,081350
08135019,081350
08135031,081350
08135039,081350
08135091,081350
08135099,081350
08140000,081400
09011100,090111
09011200,090112
09012100,090121
09012200,090122
09019010,090190
09019090,090190
09021000,090210
09022000,090220
09023000,090230
09024000,090240
09030000,090300
09041100,090411
09041200,090412
09042110,090421
09042190,090421
09042200,090422
09051000,090510
09052000,090520
09061100,090611
09061900,090619
09062000,090620
09071000,090710
09072000,090720
09081100,090811
09081200,090812
09082100,090821
09082200,090822
09083100,090831
09083200,090832
09092100,090921
09092200,090922
09093100,090931
09093200,090932
09096100,090961
09096200,090962
09101100,091011
09101200,091012
09102010,091020
09102090,091020
09103000,091030
09109105,091091
09109110,091091
09109190,091091
09109910,091099
09109931,091099
09109933,091099
09109939,091099
09109950,091099
09109991,091099
09109999,091099
10011100,100111
10011900,100119
10019110,100191
10019120,100191
10019190,100191
10019900,100199
10021000,100210
10029000,100290
10031000,100310
10039000,100390
10041000,100410
10049000,100490
10051013,100510
10051015,100510
10051018,100510
10051090,100510
10059000,100590
10061010,100610
10061030,100610
10061050,100610
10061071,100610
10061079,100610
10061090,100610
10062011,100620
10062013,100620
10062015,100620
10062017,100620
10062019,100620
10062092,100620
10062094,100620
10062096,100620
10062098,100620
10062099,100620
10063021,100630
10063023,100630
10063025,100630
10063027,100630
10063029,100630
10063042,100630
10063044,100630
10063046,100630
10063048,100630
10063049,100630
10063061,100630
10063063,100630
10063065,100630
10063067,100630
10063069,100630
10063092,100630
10063094,100630
10063096,100630
10063098,100630
10063099,100630
10064000,100640
10071010,100710
10071090,100710
10079000,100790
10081000,100810
10082100,100821
10082900,100829
10083000,100830
10084000,100840
10085000,100850
10086000,100860
10089000,100890
11010011,110100
11010015,110100
11010090,110100
11022010,110220
11022090,110220
11029010,110290
11029030,110290
11029050,110290
11029070,110290
11029090,110290
11031110,110311
11031190,110311
11031310,110313
11031390,110313
11031920,110319
11031940,110319
11031950,110319
11031990,110319
11032025,110320
11032030,110320
11032040,110320
11032050,110320
11032060,110320
11032090,110320
11041210,110412
11041290,110412
11041910,110419
11041930,110419
11041950,110419
11041961,110419
11041969,110419
11041991,110419
11041999,110419
11042240,110422
11042250,110422
11042295,110422
11042340,110423
11042398,110423
11042904,110429
11042905,110429
11042908,110429
11042917,110429
11042930,110429
11042951,110429
11042955,110429
11042959,110429
11042981,110429
11042985,110429
11042989,110429
11043010,110430
11043090,110430
11051000,110510
11052000,110520
11061000,110610
11062010,110620
11062090,110620
11063010,110630
11063090,110630
11071011,110710
11071019,110710
11071091,110710
11071099,110710
11072000,110720
11081100,110811
11081200,110812
11081300,110813
11081400,110814
11081910,110819
11081990,110819
11082000,110820
11090000,110900
12011000,120110
12019000,120190
12023000,120230
12024100,120241
12024200,120242
12030000,120300
12040010,120400
12040090,120400
12051010,120510
12051090,120510
12059000,120590
12060010,120600
12060091,120600
12060099,120600
12071000,120710
12072100,120721
12072900,120729
12073000,120730
12074010,120740
12074090,120740
12075010,120750
12075090,120750
12076000,120760
12077000,120770
12079110,120791
12079190,120791
12079920,120799
12079991,120799
12079996,120799
12081000,120810
12089000,120890
12091000,120910
12092100,120921
12092210,120922
12092280,120922
12092311,120923
12092315,120923
12092380,120923
12092400,120924
12092510,120925
12092590,120925
12092945,120929
12092950,120929
12092960,120929
12092980,120929
12093000,120930
12099130,120991
12099180,120991
12099910,120999
12099991,120999
12099999,120999
12101000,121010
12102010,121020
12102090,121020
12112000,121120
12112000,200899
12113000,121130
12113000,140490
12114000,121140
12114000,140490
12115000,121190
12115000,140490
12116000,121190
12116000,140490
12116000,200899
12119030,121190
12119030,140490
12119030,200899
12119086,121190
12119086,140490
12119086,200899
12122100,121221
12122900,121229
12129120,121291
12129180,121291
12129200,121292
12129300,121293
12129400,121294
12129941,121299
12129949,121299
12129995,121299
12130000,121300
12141000,121410
12149010,121490
12149090,121490
13012000,130120
13019000,130190
13021100,130211
13021200,130212
13021300,130213
13021400,130219
13021905,130219
13021970,130219
13022010,130220
13022090,130220
13023100,130231
13023210,130232
13023290,130232
13023900,130239
14011000,140110
14012000,140120
14019000,140190
14042000,140420
14049000,140490
15011010,150110
15011090,150110
15012010,150120
15012090,150120
15019000,150190
15021010,150210
15021090,150210
15029010,150290
15029090,150290
15030011,150300
15030019,150300
15030030,150300
15030090,150300
15041010,150410
15041091,150410
15041099,150410
15042010,150420
15042090,150420
15043010,150430
15043090,150430
15050010,150500
15050090,150500
15060000,150600
15071010,150710
15071090,150710
15079010,150790
15079090,150790
15081010,150810
15081090,150810
15089010,150890
15089090,150890
15092000,150910
15093000,150910
15094000,150910
15099000,150990
15101000,151000
15109000,151000
15111010,151110
15111090,151110
15119011,151190
15119019,151190
15119091,151190
15119099,151190
15121110,151211
15121191,151211
15121199,151211
15121910,151219
15121990,151219
15122110,151221
15122190,151221
15122910,151229
15122990,151229
15131110,151311
15131191,151311
15131199,151311
15131911,151319
15131919,151319
15131930,151319
15131991,151319
15131999,151319
15132110,151321
15132130,151321
15132190,151321
15132911,151329
15132919,151329
15132930,151329
15132950,151329
15132990,151329
15141110,151411
15141190,151411
15141910,151419
15141990,151419
15149110,151491
15149190,151491
15149910,151499
15149990,151499
15151100,151511
15151910,151519
15151990,151519
15152110,151521
15152190,151521
15152910,151529
15152990,151529
15153010,151530
15153090,151530
15155011,151550
15155019,151550
15155091,151550
15155099,151550
15156011,151590
15156051,151590
15156059,151590
15156060,151590
15156091,151590
15156099,151590
15159011,151590
15159021,151590
15159029,151590
15159031,151590
15159039,151590
15159040,151590
15159051,151590
15159059,151590
15159060,151590
15159091,151590
15159099,151590
15161010,151610
15161090,151610
15162010,151620
15162091,151620
15162095,151620
15162096,151620
15162098,151620
15163091,151620
15163098,151620
15171010,151710
15171090,151710
15179010,151790
15179091,151790
15179093,151790
15179099,151790
15180010,151800
15180031,151800
15180039,151800
15180091,151800
15180095,151800
15180099,151800
15200000,152000
15211000,152110
15219010,152190
15219091,152190
15219099,152190
15220010,152200
15220031,152200
15220039,152200
15220091,152200
15220099,152200
16010010,041000
16010010,160100
16010010,210690
16010091,041000
16010091,160100
16010091,210690
16010099,041000
16010099,160100
16010099,210690
16021000,041000
16021000,160210
16021000,210690
16022010,160220
16022090,160220
16023111,160231
16023119,160231
16023180,160231
16023211,160232
16023219,160232
16023230,160232
16023290,160232
16023921,160239
16023929,160239
16023985,160239
16024110,160241
16024190,160241
16024210,160242
16024290,160242
16024911,160249
16024913,160249
16024915,160249
16024919,160249
16024930,160249
16024950,160249
16024990,160249
16025010,160250
16025031,160250
16025095,160250
16029010,041000
16029010,160290
16029010,170490
16029010,180690
16029010,190190
16029010,190490
16029010,210690
16029031,041000
16029031,160290
16029031,170490
16029031,180690
16029031,190190
16029031,190490
16029031,210690
16029051,041000
16029051,160290
16029051,170490
16029051,180690
16029051,190190
16029051,190490
16029051,210690
16029061,041000
16029061,160290
16029061,170490
16029061,180690
16029061,190190
16029061,190490
16029061,210690
16029069,041000
16029069,160290
16029069,170490
16029069,180690
16029069,190190
16029069,190490
16029069,210690
16029091,041000
16029091,160290
16029091,170490
16029091,180690
16029091,190190
16029091,190490
16029091,210690
16029095,041000
16029095,160290
16029095,170490
16029095,180690
16029095,190190
16029095,190490
16029095,210690
16029099,041000
16029099,160290
16029099,170490
16029099,180690
16029099,190190
16029099,190490
16029099,210690
16030010,160300
16030080,160300
16041100,160411
16041210,160412
16041291,160412
16041299,160412
16041311,160413
16041319,160413
16041390,160413
16041421,160414
16041426,160414
16041428,160414
16041431,160414
16041436,160414
16041438,160414
16041441,160414
16041446,160414
16041448,160414
16041490,160414
16041511,160415
16041519,160415
16041590,160415
16041600,160416
16041700,160417
16041800,160419
16041910,160419
16041931,160419
16041939,160419
16041950,160419
16041991,160419
16041992,160419
16041993,160419
16041994,160419
16041995,160419
16041997,160419
16042005,160420
16042010,160420
16042030,160420
16042040,160420
16042050,160420
16042070,160420
16042090,160420
16043100,160431
16043200,160432
16051000,160510
16052110,160521
16052190,160521
16052900,160529
16053010,160530
16053090,160530
16054000,160540
16055100,160551
16055200,160552
16055310,160553
16055390,160553
16055400,160554
16055400,160559
16055500,160555
16055600,160556
16055700,160557
16055800,160558
16055900,160559
16056100,160561
16056200,160562
16056300,160563
16056900,160569
17011210,170112
17011290,170112
17011310,170113
17011390,170113
17011410,170114
